2021-07-11 09:58:06.731 >>> [main] >>> INFO  >>> UploadfileApplication >>> Starting UploadfileApplication on 192.168.2.100 with PID 18282 (/Users/liuyongyu/IdeaProjects/tool/uploadfile/target/classes started by liuyongyu in /Users/liuyongyu/IdeaProjects/tool)
2021-07-11 09:58:06.812 >>> [main] >>> INFO  >>> UploadfileApplication >>> No active profile set, falling back to default profiles: default
2021-07-11 09:58:14.950 >>> [main] >>> INFO  >>> o.s.boot.web.embedded.tomcat.TomcatWebServer >>> Tomcat initialized with port(s): 8080 (http)
2021-07-11 09:58:14.993 >>> [main] >>> INFO  >>> org.apache.catalina.core.StandardService >>> Starting service [Tomcat]
2021-07-11 09:58:14.994 >>> [main] >>> INFO  >>> org.apache.catalina.core.StandardEngine >>> Starting Servlet engine: [Apache Tomcat/9.0.45]
2021-07-11 09:58:15.525 >>> [main] >>> INFO  >>> o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] >>> Initializing Spring embedded WebApplicationContext
2021-07-11 09:58:15.526 >>> [main] >>> INFO  >>> o.s.b.w.s.c.ServletWebServerApplicationContext >>> Root WebApplicationContext: initialization completed in 8396 ms
2021-07-11 09:58:20.902 >>> [main] >>> INFO  >>> o.s.scheduling.concurrent.ThreadPoolTaskExecutor >>> Initializing ExecutorService 'applicationTaskExecutor'
2021-07-11 09:58:23.081 >>> [main] >>> INFO  >>> o.s.boot.web.embedded.tomcat.TomcatWebServer >>> Tomcat started on port(s): 8080 (http) with context path ''
2021-07-11 09:58:23.234 >>> [main] >>> INFO  >>> UploadfileApplication >>> Started UploadfileApplication in 18.371 seconds (JVM running for 2491.676)
2021-07-11 09:59:08.686 >>> [SpringContextShutdownHook] >>> INFO  >>> o.s.scheduling.concurrent.ThreadPoolTaskExecutor >>> Shutting down ExecutorService 'applicationTaskExecutor'
2021-07-11 09:59:14.842 >>> [main] >>> INFO  >>> UploadfileApplication >>> Starting UploadfileApplication on 192.168.2.100 with PID 18614 (/Users/liuyongyu/IdeaProjects/tool/uploadfile/target/classes started by liuyongyu in /Users/liuyongyu/IdeaProjects/tool)
2021-07-11 09:59:14.844 >>> [main] >>> INFO  >>> UploadfileApplication >>> No active profile set, falling back to default profiles: default
2021-07-11 09:59:15.668 >>> [main] >>> INFO  >>> o.s.boot.web.embedded.tomcat.TomcatWebServer >>> Tomcat initialized with port(s): 8080 (http)
2021-07-11 09:59:15.675 >>> [main] >>> INFO  >>> org.apache.catalina.core.StandardService >>> Starting service [Tomcat]
2021-07-11 09:59:15.676 >>> [main] >>> INFO  >>> org.apache.catalina.core.StandardEngine >>> Starting Servlet engine: [Apache Tomcat/9.0.45]
2021-07-11 09:59:15.727 >>> [main] >>> INFO  >>> o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] >>> Initializing Spring embedded WebApplicationContext
2021-07-11 09:59:15.728 >>> [main] >>> INFO  >>> o.s.b.w.s.c.ServletWebServerApplicationContext >>> Root WebApplicationContext: initialization completed in 847 ms
2021-07-11 09:59:16.117 >>> [main] >>> INFO  >>> o.s.scheduling.concurrent.ThreadPoolTaskExecutor >>> Initializing ExecutorService 'applicationTaskExecutor'
2021-07-11 09:59:16.344 >>> [main] >>> INFO  >>> o.s.boot.web.embedded.tomcat.TomcatWebServer >>> Tomcat started on port(s): 8080 (http) with context path ''
2021-07-11 09:59:16.353 >>> [main] >>> INFO  >>> UploadfileApplication >>> Started UploadfileApplication in 1.809 seconds (JVM running for 5.765)
2021-07-11 09:59:26.477 >>> [SpringContextShutdownHook] >>> INFO  >>> o.s.scheduling.concurrent.ThreadPoolTaskExecutor >>> Shutting down ExecutorService 'applicationTaskExecutor'
